bairro,logradouro,endereco_mapa,latitude,longitude,status_geocodificacao
Magalhães Bastos,RUA CARINHANHA,"RUA CARINHANHA, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8749894,-43.4129778,ok
Magalhães Bastos,RUA CONCORDIA,"RUA CONCORDIA, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8712046,-43.4130319,ok
Magalhães Bastos,RUA CRISPIM DE MACEDO,"RUA CRISPIM DE MACEDO, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8739814,-43.4150537,ok
Magalhães Bastos,RUA GAL LOPES MACHADO,"RUA GAL LOPES MACHADO, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8746865,-43.4161416,ok
Magalhães Bastos,RUA IPITANGAS,"RUA IPITANGAS, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8751487,-43.412351,ok
Magalhães Bastos,RUA IRINEU BRITO,"RUA IRINEU BRITO, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8735294,-43.4161446,ok
Magalhães Bastos,RUA LARANJEIRAS DO SUL,"RUA LARANJEIRAS DO SUL, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8770355,-43.4112867,ok
Magalhães Bastos,RUA LIBERIA,"RUA LIBERIA, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8727724,-43.4141909,ok
Magalhães Bastos,RUA MASCATES,"RUA MASCATES, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8761977,-43.4169538,ok
Magalhães Bastos,RUA METAL JORGE ALVES DA SILVA,"RUA METAL JORGE ALVES DA SILVA, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",,,não encontrado
Magalhães Bastos,RUA NORDESTINA,"RUA NORDESTINA, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8787023,-43.4116635,ok
Magalhães Bastos,RUA SALUSTIANO SILVA,"RUA SALUSTIANO SILVA, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",-22.8750815,-43.4063807,ok
Mangueira,RUA VISC DE NITEROI,"RUA VISC DE NITEROI, Mangueira, Rio de Janeiro, RJ, Brasil",-22.9003527,-43.2409827,ok
Manguinhos,RUA DIOGO DE VASCONCELOS,"RUA DIOGO DE VASCONCELOS, Manguinhos, Rio de Janeiro, RJ, Brasil",-22.8748996,-43.2510057,ok
Manguinhos,RUA SIZENANDO NABUCO,"RUA SIZENANDO NABUCO, Manguinhos, Rio de Janeiro, RJ, Brasil",-22.8748046,-43.2497664,ok
Maracanã,AVN MARACANA,"AVN MARACANA, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,AVN PAULA SOUSA,"AVN PAULA SOUSA, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,AVN PROF MANOEL DE ABREU,"AVN PROF MANOEL DE ABREU, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,BLV VINTE E OITO DE SETEMBRO,"BLV VINTE E OITO DE SETEMBRO, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,PRC GAL PORTINHO,"PRC GAL PORTINHO, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,PRC NITEROI,"PRC NITEROI, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,RUA ALMTE JOAO CANDIDO BRASIL,"RUA ALMTE JOAO CANDIDO BRASIL, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,RUA ARTUR MENEZES,"RUA ARTUR MENEZES, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9139706,-43.2326401,ok
Maracanã,RUA BENEVENUTO BERNA,"RUA BENEVENUTO BERNA, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9165902,-43.2244634,ok
Maracanã,RUA CONSEL OLEGARIO,"RUA CONSEL OLEGARIO, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,RUA DONA ZULMIRA,"RUA DONA ZULMIRA, Maracanã, Rio de Janeiro, RJ, Brasil",-22.916878,-43.2358855,ok
Maracanã,RUA FELIPE CAMARAO,"RUA FELIPE CAMARAO, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9181093,-43.2347166,ok
Maracanã,RUA GAL CANABARRO,"RUA GAL CANABARRO, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9146366,-43.2261894,ok
Maracanã,RUA IBITURUNA,"RUA IBITURUNA, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9120038,-43.2220885,ok
Maracanã,RUA IZIDRO DE FIGUEIREDO,"RUA IZIDRO DE FIGUEIREDO, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,RUA JACEGUAI,"RUA JACEGUAI, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9171481,-43.2333373,ok
Maracanã,RUA JIQUIBA,"RUA JIQUIBA, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9103796,-43.2207929,ok
Maracanã,RUA LUCIO DE MENDONCA,"RUA LUCIO DE MENDONCA, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9161134,-43.2236721,ok
Maracanã,RUA LUIZ GAMA,"RUA LUIZ GAMA, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,RUA MARA,"RUA MARA, Maracanã, Rio de Janeiro, RJ, Brasil",-22.91223,-43.2380199,ok
Maracanã,RUA MARIZ E BARROS,"RUA MARIZ E BARROS, Maracanã, Rio de Janeiro, RJ, Brasil",-22.913703,-43.2179571,ok
Maracanã,RUA MORAIS E SILVA,"RUA MORAIS E SILVA, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,RUA OTO DE ALENCAR,"RUA OTO DE ALENCAR, Maracanã, Rio de Janeiro, RJ, Brasil",-22.915171,-43.2255576,ok
Maracanã,RUA PEDRO GUEDES,"RUA PEDRO GUEDES, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9119047,-43.2202087,ok
Maracanã,RUA PROF EURICO RABELO,"RUA PROF EURICO RABELO, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9138967,-43.2310858,ok
Maracanã,RUA PROF GABIZO,"RUA PROF GABIZO, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9150172,-43.2237131,ok
Maracanã,RUA SANTA LUIZA,"RUA SANTA LUIZA, Maracanã, Rio de Janeiro, RJ, Brasil",-22.911627,-43.2175454,ok
Maracanã,RUA SAO FRANCISCO XAVIER,"RUA SAO FRANCISCO XAVIER, Maracanã, Rio de Janeiro, RJ, Brasil",-22.915694,-43.2318877,ok
Maracanã,RUA SENAD FURTADO,"RUA SENAD FURTADO, Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maracanã,RUA VISC DE CAIRU,"RUA VISC DE CAIRU, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9148657,-43.2223647,ok
Maracanã,RUA VISC DE ITAMARATI,"RUA VISC DE ITAMARATI, Maracanã, Rio de Janeiro, RJ, Brasil",-22.9177106,-43.2323978,ok
Maracanã,RUA WALDIR AMARAL(RADIALISTA),"RUA WALDIR AMARAL(RADIALISTA), Maracanã, Rio de Janeiro, RJ, Brasil",,,não encontrado
Marechal Hermes,AVN ENGEN ASSIS RIBEIRO,"AVN ENGEN ASSIS RIBEIRO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",,,não encontrado
Marechal Hermes,AVN GAL OSVALDO CORDEIRO DE FARIAS,"AVN GAL OSVALDO CORDEIRO DE FARIAS, Marechal Hermes, Rio de Janeiro, RJ, Brasil",,,não encontrado
Marechal Hermes,RUA ALEXANDRE GASPARONI,"RUA ALEXANDRE GASPARONI, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8623604,-43.375106,ok
Marechal Hermes,RUA AMERICO ROCHA,"RUA AMERICO ROCHA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8565988,-43.3637927,ok
Marechal Hermes,RUA ARACOIABA,"RUA ARACOIABA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8525507,-43.3644415,ok
Marechal Hermes,RUA AURELIO VALPORTO,"RUA AURELIO VALPORTO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8549681,-43.3707184,ok
Marechal Hermes,RUA BELIZE,"RUA BELIZE, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.859735,-43.3666803,ok
Marechal Hermes,RUA BOIPEBA,"RUA BOIPEBA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8578806,-43.372601,ok
Marechal Hermes,RUA BOQUEIRAO,"RUA BOQUEIRAO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8572446,-43.366189,ok
Marechal Hermes,RUA BRIG DELAMARE,"RUA BRIG DELAMARE, Marechal Hermes, Rio de Janeiro, RJ, Brasil",,,não encontrado
Marechal Hermes,RUA CAP RUBENS,"RUA CAP RUBENS, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8655339,-43.3748301,ok
Marechal Hermes,RUA CAROLINA DE ASSIS,"RUA CAROLINA DE ASSIS, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8500612,-43.3647808,ok
Marechal Hermes,RUA CAROLINA MACHADO,"RUA CAROLINA MACHADO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8583753,-43.3754201,ok
Marechal Hermes,RUA CEL LAURENIO LAGO,"RUA CEL LAURENIO LAGO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8658458,-43.3723171,ok
Marechal Hermes,RUA COMANDAI,"RUA COMANDAI, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8744479,-43.3710532,ok
Marechal Hermes,RUA CORURIPE,"RUA CORURIPE, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8516737,-43.3641893,ok
Marechal Hermes,RUA COSTA FILHO,"RUA COSTA FILHO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8655106,-43.3691034,ok
Marechal Hermes,RUA DOUTOR GONCALVES LIMA,"RUA DOUTOR GONCALVES LIMA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8505661,-43.3642607,ok
Marechal Hermes,RUA ENGEN EMILIO BAUMGART,"RUA ENGEN EMILIO BAUMGART, Marechal Hermes, Rio de Janeiro, RJ, Brasil",,,não encontrado
Marechal Hermes,RUA FREI SAMPAIO,"RUA FREI SAMPAIO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8699564,-43.3735068,ok
Marechal Hermes,RUA GAL CLAUDIO,"RUA GAL CLAUDIO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8689624,-43.3726599,ok
Marechal Hermes,RUA GAL SAVAGET,"RUA GAL SAVAGET, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8676574,-43.3750774,ok
Marechal Hermes,RUA GUATAMBU,"RUA GUATAMBU, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8596625,-43.3680793,ok
Marechal Hermes,RUA IGARATA,"RUA IGARATA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.855458,-43.3689978,ok
Marechal Hermes,RUA JOAO VICENTE,"RUA JOAO VICENTE, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8619434,-43.3694693,ok
Marechal Hermes,RUA LATIFE LUVIZARO,"RUA LATIFE LUVIZARO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8601064,-43.3700321,ok
Marechal Hermes,RUA MARACAIPE,"RUA MARACAIPE, Marechal Hermes, Rio de Janeiro, RJ, Brasil",,,não encontrado
Marechal Hermes,RUA MARAPENDI,"RUA MARAPENDI, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8558451,-43.373805,ok
Marechal Hermes,RUA MARILIA,"RUA MARILIA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8595139,-43.3670883,ok
Marechal Hermes,RUA MARINA,"RUA MARINA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8722791,-43.3704105,ok
Marechal Hermes,RUA NAVARRO DA COSTA,"RUA NAVARRO DA COSTA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8713289,-43.3752044,ok
Marechal Hermes,RUA PIRACAIA,"RUA PIRACAIA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.852903,-43.3645432,ok
Marechal Hermes,RUA QUARESMA,"RUA QUARESMA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8655434,-43.3773269,ok
Marechal Hermes,RUA REGENT LIMA E SILVA,"RUA REGENT LIMA E SILVA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",,,não encontrado
Marechal Hermes,RUA ROLEMBERGUE M DUARTE,"RUA ROLEMBERGUE M DUARTE, Marechal Hermes, Rio de Janeiro, RJ, Brasil",,,não encontrado
Marechal Hermes,RUA ROMUALDO BORGES,"RUA ROMUALDO BORGES, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.849552,-43.3696402,ok
Marechal Hermes,RUA SALOMAO FILHO,"RUA SALOMAO FILHO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8651974,-43.3674797,ok
Marechal Hermes,RUA SANTA RITA DE CASSIA,"RUA SANTA RITA DE CASSIA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.874104,-43.3698506,ok
Marechal Hermes,RUA SARAVATA,"RUA SARAVATA, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8587723,-43.3715703,ok
Marechal Hermes,RUA SIRICI,"RUA SIRICI, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8600912,-43.3698703,ok
Marechal Hermes,RUA VERDI,"RUA VERDI, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.854062,-43.3727908,ok
Marechal Hermes,RUA VITOR,"RUA VITOR, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.8667895,-43.3759234,ok
Marechal Hermes,RUA XAVIER CURADO,"RUA XAVIER CURADO, Marechal Hermes, Rio de Janeiro, RJ, Brasil",-22.862937,-43.3767321,ok
Maria da Graça,AVN DOM HELDER CAMARA,"AVN DOM HELDER CAMARA, Maria da Graça, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maria da Graça,RUA CARNEIRO RIBEIRO,"RUA CARNEIRO RIBEIRO, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8808123,-43.2592217,ok
Maria da Graça,RUA CISNE DE FARIA,"RUA CISNE DE FARIA, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8855707,-43.26985,ok
Maria da Graça,RUA CONDE DE AZAMBUJA,"RUA CONDE DE AZAMBUJA, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8852595,-43.265315,ok
Maria da Graça,RUA DOMINGOS DE BARROS,"RUA DOMINGOS DE BARROS, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8797379,-43.263351,ok
Maria da Graça,RUA DOMINGOS MAGALHAES,"RUA DOMINGOS MAGALHAES, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8820736,-43.2610951,ok
Maria da Graça,RUA FELICIANO DE AGUIAR,"RUA FELICIANO DE AGUIAR, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8828502,-43.2657362,ok
Maria da Graça,RUA FERNANDO ESQUERDO,"RUA FERNANDO ESQUERDO, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8836444,-43.2648327,ok
Maria da Graça,RUA FERREIRA CARDOSO,"RUA FERREIRA CARDOSO, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.879869,-43.2613969,ok
Maria da Graça,RUA FERREIRA DE ANDRADE,"RUA FERREIRA DE ANDRADE, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8863232,-43.2688187,ok
Maria da Graça,RUA FRANCISCO NEIVA,"RUA FRANCISCO NEIVA, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8829183,-43.2601994,ok
Maria da Graça,RUA GENESIO DE BARROS,"RUA GENESIO DE BARROS, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8827236,-43.2713405,ok
Maria da Graça,RUA GUANACAS,"RUA GUANACAS, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8786508,-43.2633405,ok
Maria da Graça,RUA LUIS DE BRITO,"RUA LUIS DE BRITO, Maria da Graça, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maria da Graça,RUA MIGUEL ANGELO,"RUA MIGUEL ANGELO, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8848239,-43.2617769,ok
Maria da Graça,RUA MIGUEL GAMA,"RUA MIGUEL GAMA, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8845457,-43.2652092,ok
Maria da Graça,RUA OLIVEIRA SERPA,"RUA OLIVEIRA SERPA, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8860774,-43.2674817,ok
Maria da Graça,RUA PIRES DE CARVALHO,"RUA PIRES DE CARVALHO, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8797072,-43.2632351,ok
Maria da Graça,RUA PROF BOSCOLI,"RUA PROF BOSCOLI, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8836644,-43.262942,ok
Maria da Graça,RUA SABINO DOS REIS,"RUA SABINO DOS REIS, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8834098,-43.2608623,ok
Maria da Graça,RUA SAO GABRIEL,"RUA SAO GABRIEL, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8821109,-43.2651014,ok
Maria da Graça,RUA SILVA ROSA,"RUA SILVA ROSA, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8803591,-43.2618798,ok
Maria da Graça,TRV MANUEL LOBO,"TRV MANUEL LOBO, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.883641,-43.2661972,ok
Maria da Graça,TRV MENDES DA SILVA,"TRV MENDES DA SILVA, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8858069,-43.265109,ok
Maria da Graça,TRV SOARES DE AZEVEDO,"TRV SOARES DE AZEVEDO, Maria da Graça, Rio de Janeiro, RJ, Brasil",-22.8827788,-43.2621496,ok
Maré,AVN GUILHERME MAXWELL,"AVN GUILHERME MAXWELL, Maré, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maré,RUA BITENCOURT SAMPAIO,"RUA BITENCOURT SAMPAIO, Maré, Rio de Janeiro, RJ, Brasil",-22.8533697,-43.2431128,ok
Maré,RUA DA PROCLAMACAO,"RUA DA PROCLAMACAO, Maré, Rio de Janeiro, RJ, Brasil",-22.8607009,-43.2455723,ok
Maré,RUA GUILHERME FROTA,"RUA GUILHERME FROTA, Maré, Rio de Janeiro, RJ, Brasil",-22.8624365,-43.2463117,ok
Maré,RUA LUIZ FERREIRA,"RUA LUIZ FERREIRA, Maré, Rio de Janeiro, RJ, Brasil",-22.8634701,-43.2466718,ok
Maré,RUA MASSARANDUBA PRQ RUBENS VAZ,"RUA MASSARANDUBA PRQ RUBENS VAZ, Maré, Rio de Janeiro, RJ, Brasil",,,não encontrado
Maré,RUA SETE DE MARCO,"RUA SETE DE MARCO, Maré, Rio de Janeiro, RJ, Brasil",-22.857458,-43.246775,ok
Moneró,AVN DO MAGISTERIO,"AVN DO MAGISTERIO, Moneró, Rio de Janeiro, RJ, Brasil",,,não encontrado
Moneró,ETR DO DENDE,"ETR DO DENDE, Moneró, Rio de Janeiro, RJ, Brasil",,,não encontrado
Moneró,ETR GOVERN CHAGAS FREITAS,"ETR GOVERN CHAGAS FREITAS, Moneró, Rio de Janeiro, RJ, Brasil",,,não encontrado
Moneró,RUA ADOLFO PORTO,"RUA ADOLFO PORTO, Moneró, Rio de Janeiro, RJ, Brasil",-22.7954715,-43.2010723,ok
Moneró,RUA ALTEIA,"RUA ALTEIA, Moneró, Rio de Janeiro, RJ, Brasil",-22.7975011,-43.1972621,ok
Moneró,RUA ANGELO NEVES,"RUA ANGELO NEVES, Moneró, Rio de Janeiro, RJ, Brasil",-22.7963025,-43.1962937,ok
Moneró,RUA ARISTARCO RAMOS,"RUA ARISTARCO RAMOS, Moneró, Rio de Janeiro, RJ, Brasil",-22.7967716,-43.1982134,ok
Moneró,RUA BARDANA,"RUA BARDANA, Moneró, Rio de Janeiro, RJ, Brasil",-22.7988014,-43.1974834,ok
Moneró,RUA DOMINGOS SEGRETO,"RUA DOMINGOS SEGRETO, Moneró, Rio de Janeiro, RJ, Brasil",-22.7965542,-43.1983224,ok
Moneró,RUA FRANCISCO PEPE,"RUA FRANCISCO PEPE, Moneró, Rio de Janeiro, RJ, Brasil",-22.7986929,-43.1986093,ok
Moneró,RUA PRINCESA,"RUA PRINCESA, Moneró, Rio de Janeiro, RJ, Brasil",-22.7946473,-43.1988494,ok
Moneró,RUA VALERIANA,"RUA VALERIANA, Moneró, Rio de Janeiro, RJ, Brasil",-22.7973258,-43.1966758,ok
Méier,RUA AFONSO ARINOS,"RUA AFONSO ARINOS, Méier, Rio de Janeiro, RJ, Brasil",-22.9065437,-43.2840022,ok
Méier,RUA ANA BARBOSA,"RUA ANA BARBOSA, Méier, Rio de Janeiro, RJ, Brasil",-22.9009631,-43.2814117,ok
Méier,RUA AQUIDABA,"RUA AQUIDABA, Méier, Rio de Janeiro, RJ, Brasil",-22.9071913,-43.2834771,ok
Méier,RUA ARISTIDES CAIRE,"RUA ARISTIDES CAIRE, Méier, Rio de Janeiro, RJ, Brasil",-22.8992725,-43.2784252,ok
Méier,RUA ARQUIAS CORDEIRO,"RUA ARQUIAS CORDEIRO, Méier, Rio de Janeiro, RJ, Brasil",-22.898098,-43.2817446,ok
Méier,RUA BARAO DE SAO BORJA,"RUA BARAO DE SAO BORJA, Méier, Rio de Janeiro, RJ, Brasil",-22.9058375,-43.2873679,ok
Méier,RUA BUENO DE PAIVA,"RUA BUENO DE PAIVA, Méier, Rio de Janeiro, RJ, Brasil",-22.9037959,-43.2902969,ok
Méier,RUA CAETANO DE ALMEIDA,"RUA CAETANO DE ALMEIDA, Méier, Rio de Janeiro, RJ, Brasil",-22.9045211,-43.2915613,ok
Méier,RUA CAROLINA MEIER,"RUA CAROLINA MEIER, Méier, Rio de Janeiro, RJ, Brasil",-22.9013111,-43.2760836,ok
Méier,RUA CAROLINA SANTOS,"RUA CAROLINA SANTOS, Méier, Rio de Janeiro, RJ, Brasil",-22.9069879,-43.2848026,ok
Méier,RUA CASTRO ALVES,"RUA CASTRO ALVES, Méier, Rio de Janeiro, RJ, Brasil",-22.8972514,-43.2791713,ok
Méier,RUA CEL COTA,"RUA CEL COTA, Méier, Rio de Janeiro, RJ, Brasil",-22.902969,-43.2886663,ok
Méier,RUA CONEGO TOBIAS,"RUA CONEGO TOBIAS, Méier, Rio de Janeiro, RJ, Brasil",-22.902906,-43.2783738,ok
Méier,RUA CONSTANCA BARBOSA,"RUA CONSTANCA BARBOSA, Méier, Rio de Janeiro, RJ, Brasil",-22.9013525,-43.280903,ok
Méier,RUA CORACAO DE MARIA,"RUA CORACAO DE MARIA, Méier, Rio de Janeiro, RJ, Brasil",-22.8944696,-43.2767747,ok
Méier,RUA CURUPAITI,"RUA CURUPAITI, Méier, Rio de Janeiro, RJ, Brasil",-22.9005763,-43.2916701,ok
Méier,RUA DIAS DA CRUZ,"RUA DIAS DA CRUZ, Méier, Rio de Janeiro, RJ, Brasil",-22.9020413,-43.2787356,ok
Méier,RUA DONA CLAUDINA,"RUA DONA CLAUDINA, Méier, Rio de Janeiro, RJ, Brasil",-22.9061252,-43.2832637,ok
Méier,RUA DOS CARIJOS,"RUA DOS CARIJOS, Méier, Rio de Janeiro, RJ, Brasil",-22.9063869,-43.2864036,ok
Méier,RUA DOUTOR PACHE DE FARIA,"RUA DOUTOR PACHE DE FARIA, Méier, Rio de Janeiro, RJ, Brasil",-22.9036893,-43.2771825,ok
Méier,RUA ENEAS GALVAO,"RUA ENEAS GALVAO, Méier, Rio de Janeiro, RJ, Brasil",-22.8971252,-43.2739815,ok
Méier,RUA ENGEN JULIAO CASTELO,"RUA ENGEN JULIAO CASTELO, Méier, Rio de Janeiro, RJ, Brasil",,,não encontrado
Méier,RUA FABIO LUZ,"RUA FABIO LUZ, Méier, Rio de Janeiro, RJ, Brasil",-22.9083825,-43.2911676,ok
Méier,RUA FREDERICO MEIER,"RUA FREDERICO MEIER, Méier, Rio de Janeiro, RJ, Brasil",-22.9014852,-43.2768359,ok
Méier,RUA FREI FABIANO,"RUA FREI FABIANO, Méier, Rio de Janeiro, RJ, Brasil",-22.9031858,-43.2734327,ok
Méier,RUA GUAPUI,"RUA GUAPUI, Méier, Rio de Janeiro, RJ, Brasil",-22.905845,-43.275888,ok
Méier,RUA GUSTAVO GAMA,"RUA GUSTAVO GAMA, Méier, Rio de Janeiro, RJ, Brasil",-22.902289,-43.2883754,ok
Méier,RUA HERMENGARDA,"RUA HERMENGARDA, Méier, Rio de Janeiro, RJ, Brasil",-22.9050096,-43.277467,ok
Méier,RUA INTEND CUNHA MENEZES,"RUA INTEND CUNHA MENEZES, Méier, Rio de Janeiro, RJ, Brasil",,,não encontrado
Méier,RUA ISOLINA,"RUA ISOLINA, Méier, Rio de Janeiro, RJ, Brasil",-22.9066754,-43.2796236,ok
Méier,RUA ITOBI,"RUA ITOBI, Méier, Rio de Janeiro, RJ, Brasil",-22.9046288,-43.2929862,ok
Méier,RUA JACINTO,"RUA JACINTO, Méier, Rio de Janeiro, RJ, Brasil",-22.9033211,-43.281338,ok
Méier,RUA JOAQUIM MEIER,"RUA JOAQUIM MEIER, Méier, Rio de Janeiro, RJ, Brasil",-22.9033142,-43.2779045,ok
Méier,RUA JOAQUINA ROSA,"RUA JOAQUINA ROSA, Méier, Rio de Janeiro, RJ, Brasil",-22.9062638,-43.2787687,ok
Méier,RUA JOSE VERISSIMO,"RUA JOSE VERISSIMO, Méier, Rio de Janeiro, RJ, Brasil",-22.9050498,-43.2849312,ok
Méier,RUA LEITE RIBEIRO,"RUA LEITE RIBEIRO, Méier, Rio de Janeiro, RJ, Brasil",-22.9032813,-43.2890187,ok
Méier,RUA LOPES DA CRUZ,"RUA LOPES DA CRUZ, Méier, Rio de Janeiro, RJ, Brasil",-22.9047174,-43.2822665,ok
Méier,RUA LUCIDIO LAGO,"RUA LUCIDIO LAGO, Méier, Rio de Janeiro, RJ, Brasil",-22.8994413,-43.2740978,ok
Méier,RUA MAGALHAES COUTO,"RUA MAGALHAES COUTO, Méier, Rio de Janeiro, RJ, Brasil",-22.9023307,-43.2867356,ok
Méier,RUA MANUELA BARBOSA,"RUA MANUELA BARBOSA, Méier, Rio de Janeiro, RJ, Brasil",-22.901487,-43.2818659,ok
Méier,RUA MARANHAO,"RUA MARANHAO, Méier, Rio de Janeiro, RJ, Brasil",-22.9078808,-43.293041,ok
Méier,RUA MEDINA,"RUA MEDINA, Méier, Rio de Janeiro, RJ, Brasil",-22.9007398,-43.2820942,ok
Méier,RUA MIGUEL FERNANDES,"RUA MIGUEL FERNANDES, Méier, Rio de Janeiro, RJ, Brasil",-22.8982122,-43.2701694,ok
Méier,RUA MOREIRA SAMPAIO,"RUA MOREIRA SAMPAIO, Méier, Rio de Janeiro, RJ, Brasil",-22.9051008,-43.2791154,ok
Méier,RUA MOSSORO,"RUA MOSSORO, Méier, Rio de Janeiro, RJ, Brasil",-22.897452,-43.2748523,ok
Méier,RUA OLDEGARD SAPUCAIA,"RUA OLDEGARD SAPUCAIA, Méier, Rio de Janeiro, RJ, Brasil",-22.9024298,-43.279402,ok
Méier,RUA OLIVEIRA,"RUA OLIVEIRA, Méier, Rio de Janeiro, RJ, Brasil",-22.9038679,-43.2809039,ok
