bairro,logradouro,endereco_mapa,latitude,longitude,status_geocodificacao
Andaraí,RUA URUGUAI,"RUA URUGUAI, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9279426,-43.2440668,ok
Andaraí,RUA VIA LACTEA,"RUA VIA LACTEA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9240683,-43.2515011,ok
Andaraí,TRV VASCONCELOS,"TRV VASCONCELOS, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9297291,-43.2513438,ok
Anil,AVN AFFONSO DA SILVEIRA FILHO,"AVN AFFONSO DA SILVEIRA FILHO, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,AVN CANAL DO ANIL,"AVN CANAL DO ANIL, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,AVN SAO GUILHERME DE NORWICH,"AVN SAO GUILHERME DE NORWICH, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,AVN TTECEL MUNIZ DE ARAGAO,"AVN TTECEL MUNIZ DE ARAGAO, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,ETR CURIPOS,"ETR CURIPOS, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,ETR DA URUCANGA,"ETR DA URUCANGA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,ETR DE JACAREPAGUA,"ETR DE JACAREPAGUA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,ETR DO ENGENHO D'AGUA,"ETR DO ENGENHO D'AGUA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,PRC SOLD MARIO KOSEL FILHO,"PRC SOLD MARIO KOSEL FILHO, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA A PAA 12472/PAL 48565 E 48428,"RUA A PAA 12472/PAL 48565 E 48428, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA ARATICUM,"RUA ARATICUM, Anil, Rio de Janeiro, RJ, Brasil",-22.9552603,-43.3371107,ok
Anil,RUA ARI VASCONCELOS (JORN),"RUA ARI VASCONCELOS (JORN), Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA B PAA 12472/PAL 48565 E 48428,"RUA B PAA 12472/PAL 48565 E 48428, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA BENITO JUAREZ,"RUA BENITO JUAREZ, Anil, Rio de Janeiro, RJ, Brasil",-22.9524905,-43.3360358,ok
Anil,RUA BORBOLETA AMARELA,"RUA BORBOLETA AMARELA, Anil, Rio de Janeiro, RJ, Brasil",-22.9644003,-43.3402599,ok
Anil,RUA BRIG TELLES RIBEIRO,"RUA BRIG TELLES RIBEIRO, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA C PAA 12472/PAL 48565 E 48428,"RUA C PAA 12472/PAL 48565 E 48428, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA CARMEM DOLORES,"RUA CARMEM DOLORES, Anil, Rio de Janeiro, RJ, Brasil",-22.9528318,-43.3346364,ok
Anil,RUA CEL VERCESSI,"RUA CEL VERCESSI, Anil, Rio de Janeiro, RJ, Brasil",-22.9450914,-43.3323997,ok
Anil,RUA COLUMEIA,"RUA COLUMEIA, Anil, Rio de Janeiro, RJ, Brasil",-22.9513364,-43.3284266,ok
Anil,RUA CORDILINE,"RUA CORDILINE, Anil, Rio de Janeiro, RJ, Brasil",-22.9519523,-43.3281369,ok
Anil,RUA COUTINHO CAVALCANTI,"RUA COUTINHO CAVALCANTI, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA CROTON,"RUA CROTON, Anil, Rio de Janeiro, RJ, Brasil",-22.9521711,-43.3286626,ok
Anil,RUA D PAA 12472/PAL 48565 E 48428,"RUA D PAA 12472/PAL 48565 E 48428, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA DOM CASMURRO,"RUA DOM CASMURRO, Anil, Rio de Janeiro, RJ, Brasil",-22.9627998,-43.3379408,ok
Anil,RUA ENAMORADO DA VILA,"RUA ENAMORADO DA VILA, Anil, Rio de Janeiro, RJ, Brasil",-22.9655645,-43.3409255,ok
Anil,RUA ENCONTRO MARCADO,"RUA ENCONTRO MARCADO, Anil, Rio de Janeiro, RJ, Brasil",-22.9638892,-43.3376555,ok
Anil,RUA ESTRELA DA MANHA,"RUA ESTRELA DA MANHA, Anil, Rio de Janeiro, RJ, Brasil",-22.9649857,-43.3405572,ok
Anil,RUA FRANCISCO DANTAS (ATOR),"RUA FRANCISCO DANTAS (ATOR), Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA GELTON PACIELLO DA MOTTA,"RUA GELTON PACIELLO DA MOTTA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA ITUVERAVA,"RUA ITUVERAVA, Anil, Rio de Janeiro, RJ, Brasil",-22.9444356,-43.3353336,ok
Anil,RUA JALES,"RUA JALES, Anil, Rio de Janeiro, RJ, Brasil",-22.9571453,-43.3330071,ok
Anil,RUA JORGE FIGUEIREDO,"RUA JORGE FIGUEIREDO, Anil, Rio de Janeiro, RJ, Brasil",-22.9499701,-43.3321745,ok
Anil,RUA LUIS PEDROSO DE BARROS,"RUA LUIS PEDROSO DE BARROS, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA MAL ARTHUR PORTELLA,"RUA MAL ARTHUR PORTELLA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
